,alcohol,appellation,category,date,href,price,rating,title
0,14%,Burgundy,Red,4/1/2019,https://www.winemag.com/buying-guide/maison-roche-de-bellene-2016-aux-boudots-premier-cru-nuits-st-georges-310137/,$156,94 Points,Maison Roche de Bellene 2016 Aux Boudots Premier Cru  (Nuits-St.-Georges)
1,13%,Australia Other,White,4/1/2019,https://www.winemag.com/buying-guide/penfolds-2015-yattarna-bin-144-chardonnay-australia/,$130,94 Points,Penfolds 2015 Yattarna Bin 144 Chardonnay (Australia)
2,13.5%,Australia Other,White,4/1/2019,https://www.winemag.com/buying-guide/penfolds-2016-yattarna-bin-144-chardonnay-australia/,$130,94 Points,Penfolds 2016 Yattarna Bin 144 Chardonnay (Australia)
3,13.9%,Central Coast,Red,4/1/2019,https://www.winemag.com/buying-guide/piro-2016-runway-vineyard-pinot-noir-santa-maria-valley-309793/,$44,94 Points,Piro 2016 Runway Vineyard Pinot Noir (Santa Maria Valley)
4,14.5%,Sonoma,White,4/1/2019,https://www.winemag.com/buying-guide/rochioli-2017-estate-grown-chardonnay-russian-river-valley/,$52,94 Points,Rochioli 2017 Estate Grown Chardonnay (Russian River Valley)
5,14.4%,Central Coast,White,4/1/2019,https://www.winemag.com/buying-guide/sanguis-2015-see-through-white-central-coast/,$50,94 Points,Sanguis 2015 See Through White (Central Coast)
6,14.7%,Napa,Red,4/1/2019,https://www.winemag.com/buying-guide/stewart-2016-nomad-beckstoffer-dr-crane-cabernet-sauvignon-napa-valley/,$175,94 Points,Stewart 2016 Nomad Beckstoffer Dr. Crane Cabernet Sauvignon (Napa Valley)
7,14.7%,Napa,Red,4/1/2019,https://www.winemag.com/buying-guide/stewart-2016-nomad-beckstoffer-las-piedras-cabernet-sauvignon-napa-valley/,$175,94 Points,Stewart 2016 Nomad Beckstoffer Las Piedras Cabernet Sauvignon (Napa Valley)
8,13.7%,Central Coast,Red,4/1/2019,https://www.winemag.com/buying-guide/talley-2016-rincon-vineyard-pinot-noir-arroyo-grande-valley/,$68,94 Points,Talley 2016 Rincon Vineyard Pinot Noir (Arroyo Grande Valley)
9,14.1%,Central Coast,White,4/1/2019,https://www.winemag.com/buying-guide/thomas-fogarty-2016-langley-hill-vineyard-chardonnay-santa-cruz-mountains-309812/,$62,94 Points,Thomas Fogarty 2016 Langley Hill Vineyard Chardonnay (Santa Cruz Mountains)
10,14.2%,Central Coast,Red,4/1/2019,https://www.winemag.com/buying-guide/tolosa-2017-solomon-hills-vineyard-pinot-noir-santa-maria-valley-309681/,$125,94 Points,Tolosa 2017 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley)
11,13.8%,Willamette Valley,Red,4/1/2019,https://www.winemag.com/buying-guide/trathen-hall-2015-antiquum-vineyard-pinot-noir-eola-amity-hills/,$48,94 Points,Trathen Hall 2015 Antiquum Vineyard Pinot Noir (Eola-Amity Hills)
12,13.4%,Willamette Valley,Red,4/1/2019,https://www.winemag.com/buying-guide/brick-house-2016-les-dijonnais-pinot-noir-ribbon-ridge/,$52,94 Points,Brick House 2016 Les Dijonnais Pinot Noir (Ribbon Ridge)
13,13%,Bordeaux,White,4/1/2019,https://www.winemag.com/buying-guide/chateau-margaux-2016-pavillon-blanc-du-chateau-margaux-bordeaux-blanc/,$200,94 Points,Château Margaux 2016 Pavillon Blanc du Château Margaux  (Bordeaux Blanc)
14,13%,Bordeaux,White,4/1/2019,https://www.winemag.com/buying-guide/chateau-pape-clement-2016-pessac-leognan-310918/,$150,94 Points,Château Pape Clément 2016  Pessac-Léognan
15,14.7%,Central Coast,Red,4/1/2019,https://www.winemag.com/buying-guide/daou-2016-estate-cabernet-sauvignon-adelaida-district/,$85,94 Points,Daou 2016 Estate Cabernet Sauvignon (Adelaida District)
